session_ID;packetId;car_ID;position_x;position_y;position_z;velocity_x;velocity_y;velocity_z;rotation_pitch;rotation_yaw;rotation_roll;relativeOrientationToNorth;angularVelocity_x;angularVelocity_y;angularVelocity_z;bodyHeight;engineRPM;gasLevel;gasCapacity;metersPerSecond;distance;turboBoost;oilPressure;waterTemperature;oilTemperature;lapCount;lapsInRace;currentLapTime;currentLapTime2;bestLapTime;lastLapTime;timeOfDayProgression;preRaceStartPositionOrQualiPos;numCarsAtPreRace;minAlertRPM;maxAlertRPM;calculatedMaxSpeed;flags;currentGear;suggestedGear;throttle;brake;roadPlane_x;roadPlane_y;roadPlane_z;roadPlaneDistance;tireRadius_fl;tireRadius_fr;tireRadius_rl;tireRadius_rr;tireSuspensionHeight_fl;tireSuspensionHeight_fr;tireSuspensionHeight_rl;tireSuspensionHeight_rr;tireSurfaceTemperature_fl;tireSurfaceTemperature_fr;tireSurfaceTemperature_rl;tireSurfaceTemperature_rr;wheelRevPerSecond_fl;wheelRevPerSecond_fr;wheelRevPerSecond_rl;wheelRevPerSecond_rr;clutchPedal;clutchEngagement;rpmFromClutchToGearbox;transmissionTopSpeed
a4e93d81-e2f6-47be-92a2-493d6a58a727;27865;203;22.604618072509766;0.6028506755828857;-93.01583099365234;-45.11064910888672;-0.4556064307689667;-0.42181411385536194;0.02802480198442936;0.701327919960022;0.031447649002075195;0.7115930914878845;-0.00048411404713988304;-0.09074133634567261;-0.002665807493031025;0.12707233428955078;7285;100;100;45.11349868774414;433.02757670084577;0;6.808848857879639;85;110;1;3;11067;11050;-1;-1;62471466;9;20;8400;9000;242;1033;4;15;255;0;;;;6.561124801635742;;;;;0.161722794175148;0.14538797736167908;0.17754480242729187;0.16629967093467712;60.143104553222656;60.70484924316406;59.3176383972168;59.84237289428711;-154.10337829589844;-154.10337829589844;-150.6351776123047;-150.21005249023438;0;1;7285;3.000000238418579
a4e93d81-e2f6-47be-92a2-493d6a58a727;27866;203;21.851459503173828;0.5953211784362793;-93.0229263305664;-45.13874435424805;-0.4427006244659424;-0.46210411190986633;0.028119346126914024;0.7007663249969482;0.031328123062849045;0.7121477723121643;0.006087848916649818;-0.09613948315382004;-0.002799403155222535;0.1268329620361328;7287;100;100;45.141658782958984;433.7799376805618;0;6.809794902801514;85;110;1;3;11083;11067;-1;-1;62471483;9;20;8400;9000;242;1033;4;15;255;0;;;;6.507571697235107;;;;;0.16216596961021423;0.14486849308013916;0.1781068742275238;0.16677159070968628;60.142452239990234;60.70428466796875;59.31689453125;59.841651916503906;-154.12789916992188;-154.12789916992188;-150.7522735595703;-150.30377197265625;0;1;7287;3.000000238418579
a4e93d81-e2f6-47be-92a2-493d6a58a727;27867;203;21.097885131835938;0.5880850553512573;-93.03076171875;-45.16459655761719;-0.4263136088848114;-0.5053713321685791;0.028235862031579018;0.7001899480819702;0.03126264363527298;0.7127128839492798;0.003147435374557972;-0.0979844257235527;0.0037024265620857477;0.1274104118347168;7291;100;100;45.167640686035156;434.5327316919957;0;6.810628414154053;85;110;1;3;11100;11084;-1;-1;62471500;9;20;8400;9000;242;1033;4;15;255;0;;;;6.392307281494141;;;;;0.16261430084705353;0.14374592900276184;0.1782151460647583;0.16517899930477142;60.14180374145508;60.70372009277344;59.316165924072266;59.840938568115234;-154.22581481933594;-154.22581481933594;-150.8404541015625;-150.38250732421875;0;1;7291;3.000000238418579
a4e93d81-e2f6-47be-92a2-493d6a58a727;27868;203;20.34388542175293;0.5809414386749268;-93.03923034667969;-45.189208984375;-0.4195399284362793;-0.5493628978729248;0.02828057110309601;0.6996020674705505;0.031100530177354813;0.7132952213287354;0.004824936389923096;-0.10055466741323471;-0.010588078759610653;0.12716293334960938;7296;100;100;45.192420959472656;435.28593870798693;0;6.811483383178711;85;110;1;3;11117;11100;-1;-1;62471516;9;20;8400;9000;242;1033;4;15;255;0;;;;6.340904235839844;;;;;0.1631580889225006;0.14423245191574097;0.17858701944351196;0.1646030843257904;60.14116668701172;60.703147888183594;59.31544876098633;59.8402214050293;-154.3447723388672;-154.3447723388672;-150.93128967285156;-150.46347045898438;0;1;7296;3.000000238418579
a4e93d81-e2f6-47be-92a2-493d6a58a727;27869;203;19.589420318603516;0.5740829706192017;-93.04857635498047;-45.21611022949219;-0.4016138017177582;-0.5987995266914368;0.02839924395084381;0.6990026235580444;0.030979705974459648;0.7138830423355103;0.007479541003704071;-0.1024218425154686;-0.0007918272167444229;0.12708377838134766;7298;100;100;45.2195930480957;436.0395985921219;0;6.812188625335693;85;110;1;3;11133;11117;-1;-1;62471533;9;20;8400;9000;242;1033;4;15;255;0;;;;6.2703857421875;;;;;0.16352489590644836;0.14330846071243286;0.17919902503490448;0.16492092609405518;60.14053726196289;60.70260238647461;59.31474685668945;59.839508056640625;-154.37977600097656;-154.37977600097656;-151.03097534179688;-150.55465698242188;0;1;7298;3.000000238418579
a4e93d81-e2f6-47be-92a2-493d6a58a727;27870;203;18.83458137512207;0.567489743232727;-93.05872344970703;-45.239990234375;-0.38730624318122864;-0.6477979421615601;0.028475498780608177;0.6984081864356995;0.030866973102092743;0.7144666314125061;0.0033090701326727867;-0.10106111317873001;-0.003624832257628441;0.12731361389160156;7303;100;100;45.24378967285156;436.7936617533361;0;6.812901973724365;85;110;1;3;11150;11134;-1;-1;62471550;9;20;8400;9000;242;1033;4;15;255;0;;;;6.189669132232666;;;;;0.16402825713157654;0.14295269548892975;0.17924383282661438;0.1638069450855255;60.13990783691406;60.70203399658203;59.314056396484375;59.83879852294922;-154.50271606445312;-154.50271606445312;-151.10215759277344;-150.6320037841797;0;1;7303;3.000000238418579
a4e93d81-e2f6-47be-92a2-493d6a58a727;27871;203;18.079307556152344;0.5610905885696411;-93.0697250366211;-45.26496887207031;-0.3746143579483032;-0.6996796727180481;0.028547875583171844;0.6978105902671814;0.030720580369234085;0.7150535583496094;0.005716978572309017;-0.10194465517997742;-0.006796697620302439;0.12693500518798828;7307;100;100;45.269203186035156;437.54814847310337;0;6.813594818115234;85;110;1;3;11167;11150;-1;-1;62471566;9;20;8400;9000;242;1033;4;15;255;0;;;;6.133498191833496;;;;;0.1644996851682663;0.14285019040107727;0.1800958514213562;0.1639813929796219;60.1392936706543;60.701480865478516;59.313377380371094;59.83808898925781;-154.5763702392578;-154.5763702392578;-151.19210815429688;-150.7194366455078;0;1;7307;3.000000238418579
a4e93d81-e2f6-47be-92a2-493d6a58a727;27872;203;17.323633193969727;0.555027961730957;-93.08165740966797;-45.28976821899414;-0.35544806718826294;-0.7540437579154968;0.028625408187508583;0.6972205638885498;0.030606668442487717;0.7156308889389038;0.003659888170659542;-0.1001940593123436;-0.0035366492811590433;0.1273355484008789;7310;100;100;45.29454803466797;438.3030576070145;0;6.814180850982666;85;110;1;3;11183;11167;-1;-1;62471583;9;20;8400;9000;242;1033;4;15;255;0;;;;6.060531139373779;;;;;0.16442836821079254;0.14178353548049927;0.1803397536277771;0.16342660784721375;60.1386833190918;60.700927734375;59.312713623046875;59.83738327026367;-154.64756774902344;-154.64756774902344;-151.27008056640625;-150.8042449951172;0;1;7310;3.000000238418579
a4e93d81-e2f6-47be-92a2-493d6a58a727;27873;203;16.567602157592773;0.5491398572921753;-93.09442901611328;-45.312355041503906;-0.34612905979156494;-0.8070571422576904;0.028625642880797386;0.6966450214385986;0.030456462875008583;0.7161973714828491;0.0003636777400970459;-0.09761925786733627;-0.013094850815832615;0.12741422653198242;7317;100;100;45.3177604675293;439.05835361480666;0;6.814792156219482;85;110;1;3;11200;11184;-1;-1;62471600;9;20;8400;9000;242;1033;4;15;255;0;;;;6.000267028808594;;;;;0.16481155157089233;0.14207841455936432;0.18040716648101807;0.16230402886867523;60.1380729675293;60.700355529785156;59.31205368041992;59.83667755126953;-154.78488159179688;-154.78488159179688;-151.33587646484375;-150.8821258544922;0;1;7317;3.000000238418579
a4e93d81-e2f6-47be-92a2-493d6a58a727;27874;203;15.811128616333008;0.5434775352478027;-93.1081314086914;-45.337520599365234;-0.3312380313873291;-0.8634150624275208;0.028642257675528526;0.6960743069648743;0.030281012877821922;0.7167588472366333;0.0039726197719573975;-0.09721342474222183;-0.013857618905603886;0.12731218338012695;7319;100;100;45.34367370605469;439.81408150990757;0;6.815330505371094;85;110;1;3;11217;11200;-1;-1;62471616;9;20;8400;9000;242;1033;4;15;255;0;;;;5.947244644165039;;;;;0.16476508975028992;0.14130476117134094;0.18102625012397766;0.1629638671875;60.13747024536133;60.69980239868164;59.3114013671875;59.835968017578125;-154.82696533203125;-154.82696533203125;-151.42637634277344;-150.97549438476562;0;1;7319;3.000000238418579
